grid_resolution,computed_A
4.000000000000000000e+01,1.494868329805051632e-01
6.000000000000000000e+01,1.417459666924148487e-01
8.000000000000000000e+01,1.442082039324993903e-01
1.200000000000000000e+02,1.404772255750516563e-01
1.600000000000000000e+02,1.415434164902525660e-01
2.200000000000000000e+02,1.397451991747794553e-01
3.000000000000000000e+02,1.394641016151377533e-01
