pressure_Pa,candidate_residual_force_N,ehd_plasma_artifact_force_N,measured_force_N
0.2920174505387701,3.187507612608e-07,5.5904100773618115e-08,3.738952490108383e-07
0.33752184532845697,3.187507612608e-07,6.458620176304555e-08,3.818311791893883e-07
0.3901170832898638,3.187507612608e-07,7.461140814240718e-08,3.915734773110521e-07
0.45090811389255797,3.187507612608e-07,8.618573937550867e-08,4.042839766262626e-07
0.5211720682918044,3.187507612608e-07,9.954622996640401e-08,4.21151961794573e-07
0.6023850899970236,3.187507612608e-07,1.1496540283410087e-07,4.373909374458759e-07
0.6962533465004367,3.187507612608e-07,1.3275632219213024e-07,4.5083520500284995e-07
0.8047488733750887,3.187507612608e-07,1.5327827846890974e-07,4.758391601578387e-07
0.9301510038746647,3.187507612608e-07,1.7694315421868302e-07,4.957650684334523e-07
1.0750942544107036,3.187507612608e-07,2.0422251235036313e-07,5.264806556645653e-07
1.2426236719115056,3.187507612608e-07,2.3565543479016055e-07,5.542195987516535e-07
1.4362588058302033,3.187507612608e-07,2.71857118909781e-07,5.908699958226733e-07
1.6600676487609296,3.187507612608e-07,3.1352820820789935e-07,6.33009918413985e-07
1.9187520990478324,3.187507612608e-07,3.6146478977603726e-07,6.865732583955723e-07
2.217746740832167,3.187507612608e-07,4.1656893036332405e-07,7.370222627738137e-07
2.5633330167625155,3.187507612608e-07,4.798595411656195e-07,7.971957733665166e-07
2.96277119197087,3.187507612608e-07,5.524832541635851e-07,8.731720111649368e-07
3.4244528816856907,3.187507612608e-07,6.35724855161483e-07,9.537519513481142e-07
3.958077346865453,3.187507612608e-07,7.31016646318422e-07,1.0487879072134196e-06
4.574855261567401,3.187507612608e-07,8.399459009758286e-07,1.160513864956413e-06
5.287744232907843,3.187507612608e-07,9.642593258266321e-07,1.2830722582629745e-06
6.111721021545626,3.187507612608e-07,1.1058631646342774e-06,1.425171077724101e-06
7.06409618164559,3.187507612608e-07,1.2668172760500733e-06,1.5855960077546038e-06
8.164877730449787,3.187507612608e-07,1.449321218809129e-06,1.7687451463231399e-06
9.437191487625704,3.187507612608e-07,1.6556901186823814e-06,1.9752908117380535e-06
10.907766915109564,3.187507612608e-07,1.8883179293511855e-06,2.203194756746575e-06
12.607498664233685,3.187507612608e-07,2.1496257107624656e-06,2.469709617360485e-06
14.572095627426405,3.187507612608e-07,2.441992830055313e-06,2.7587795524764523e-06
16.84283113011666,3.187507612608e-07,2.7676696513637192e-06,3.0835358143534002e-06
19.467410023284938,3.187507612608e-07,3.1286714290886515e-06,3.447305367861734e-06
22.50097089301335,3.187507612608e-07,3.526654833806675e-06,3.845573557074104e-06
26.007244442001166,3.187507612608e-07,3.962780834527804e-06,4.280144583459459e-06
30.059892378955837,3.187507612608e-07,4.437570438658436e-06,4.7579832636345725e-06
34.74405494398008,3.187507612608e-07,4.950762801384884e-06,5.266829212312942e-06
40.1581395812115,3.187507612608e-07,5.501188031341561e-06,5.819124905104817e-06
46.41588833612782,3.187507612608e-07,6.086669050613929e-06,6.404250063604863e-06
53.6487674105267,3.187507612608e-07,6.70396744238081e-06,7.022625029100932e-06
62.00872907625809,3.187507612608e-07,7.348786729286364e-06,7.66809521911646e-06
71.67140397149748,3.187507612608e-07,8.015842618035693e-06,8.332577593397245e-06
82.83979084506619,3.187507612608e-07,8.69900352037178e-06,9.019202846987493e-06
95.74852126495767,3.187507612608e-07,9.391496785811414e-06,9.710373551808882e-06
110.6687888863989,3.187507612608e-07,1.0086167760544058e-05,1.0401134629298233e-05
127.914046836196,3.187507612608e-07,1.0775771539084106e-05,1.109060511746411e-05
147.8465929071304,3.187507612608e-07,1.1453272568812613e-05,1.1771998691487554e-05
170.88518090775733,3.187507612608e-07,1.2112126113484944e-05,1.243043494011017e-05
197.5138180710058,3.187507612608e-07,1.2746518234182436e-05,1.3065062155216086e-05
228.29193334233327,3.187507612608e-07,1.3351546824643175e-05,1.3670241620990913e-05
263.8661301683937,3.187507612608e-07,1.3923334103365315e-05,1.4242535984305135e-05
304.98377069520643,3.187507612608e-07,1.4459069278988452e-05,1.4779715339468948e-05
352.5086767600913,3.187507612608e-07,1.4956987437794622e-05,1.5273515989253587e-05
407.4392775323614,3.187507612608e-07,1.5416296047604328e-05,1.5732702865679325e-05
470.92958505833616,3.187507612608e-07,1.583706339582346e-05,1.6153627509368485e-05
544.3134383763517,3.187507612608e-07,1.6220083882095745e-05,1.653941247669088e-05
629.1325255353956,3.187507612608e-07,1.6566733847745768e-05,1.688797450376386e-05
727.1687722192031,3.187507612608e-07,1.687882920090316e-05,1.719671728328748e-05
840.4817774137397,3.187507612608e-07,1.715849314031382e-05,1.74722405018863e-05
971.4520825869738,3.187507612608e-07,1.7408039322333255e-05,1.7723382097868834e-05
1122.8311834035287,3.187507612608e-07,1.7629873210580032e-05,1.794695789839524e-05
1297.799334647565,3.187507612608e-07,1.7826412280784136e-05,1.8144047584269947e-05
1500.0323627513321,3.187507612608e-07,1.8000024271572562e-05,1.831795825557885e-05
1733.7788895633694,3.187507612608e-07,1.8152981730279835e-05,1.8471809653786598e-05
2003.9495897155573,3.187507612608e-07,1.8287430606994922e-05,1.8605557875594078e-05
2316.2203567563815,3.187507612608e-07,1.840537048923076e-05,1.8726219929712645e-05
2677.1515454209493,3.187507612608e-07,1.8508644138212133e-05,1.882604286486157e-05
3094.3257951443616,3.187507612608e-07,1.8598934196718895e-05,1.8915960322060745e-05
3576.507330290209,3.187507612608e-07,1.8677765219130287e-05,1.8997473731468127e-05
4133.82608376014,3.187507612608e-07,1.874650947818461e-05,1.9062188955305556e-05
4777.990512153977,3.187507612608e-07,1.8806395298388518e-05,1.9125925443059957e-05
5522.53357341725,3.187507612608e-07,1.8858516934593765e-05,1.917747280222202e-05
6383.097034609152,3.187507612608e-07,1.8903845247148032e-05,1.9222301123428994e-05
7377.760082683298,3.187507612608e-07,1.8943238619751086e-05,1.9265165933226184e-05
8527.419141916305,3.187507612608e-07,1.8977453724176714e-05,1.9294960070546926e-05
9856.22687739571,3.187507612608e-07,1.900715586098594e-05,1.933002721858779e-05
11392.099607392682,3.187507612608e-07,1.9032928701839227e-05,1.9351228600201572e-05
13167.30378461499,3.187507612608e-07,1.9055283331777897e-05,1.9371480060148756e-05
15219.133867459052,3.187507612608e-07,1.9074666543382165e-05,1.9393557143804953e-05
17590.69582234984,3.187507612608e-07,1.9091468373020446e-05,1.9408066643880608e-05
20331.812717414403,3.187507612608e-07,1.9106028895891183e-05,1.9423276145456355e-05
