voltage_V,field_strength_V_per_m,energy_density_J_per_m3,candidate_residual_force_N,ehd_pressure_artifact_force_N,thermal_artifact_force_N,measured_force_N
0.0,0.0,0.0,0.0,0.0,0.0,6.094341595088627e-10
41.666666666666664,2083.333333333333,1.9214817302083327e-05,3.4586671143749984e-11,2.0812792703968448e-09,2.083333333333333e-15,3.5899812392936765e-11
83.33333333333333,4166.666666666666,7.685926920833331e-05,1.3834668457499994e-10,8.325117081587379e-09,8.333333333333332e-15,9.964374491108627e-09
125.0,6250.0,0.00017293335571875,3.1128004029375e-10,1.8731513433571604e-08,1.8750000000000002e-14,2.092394165664778e-08
166.66666666666666,8333.333333333332,0.00030743707683333324,5.533867382999998e-10,3.3300468326349517e-08,3.333333333333333e-14,2.995181802067518e-08
208.33333333333331,10416.666666666666,0.00048037043255208333,8.646667785937499e-10,5.203198175992111e-08,5.2083333333333324e-14,5.029234160812356e-08
250.0,12500.0,0.000691733422875,1.245120161175e-09,7.492605373428642e-08,7.500000000000001e-14,7.642692970179597e-08
291.66666666666663,14583.33333333333,0.000941526047802083,1.6947468860437494e-09,1.0198268424944538e-07,1.0208333333333331e-13,1.0304504803413529e-07
333.3333333333333,16666.666666666664,0.001229748307333333,2.213546953199999e-09,1.3320187330539807e-07,1.333333333333333e-13,1.353819512769228e-07
375.0,18750.0,0.0015564002014687502,2.8015203626437503e-09,1.6858362090214445e-07,1.6874999999999996e-13,1.6967922215964105e-07
416.66666666666663,20833.333333333332,0.0019214817302083333,3.4586671143749998e-09,2.0812792703968444e-07,2.083333333333333e-13,2.1334559843711845e-07
458.3333333333333,22916.666666666664,0.002324992893552083,4.184987208393749e-09,2.5183479171801825e-07,2.5208333333333326e-13,2.575756148806032e-07
500.0,25000.0,0.0027669336915,4.9804806447e-09,2.9970421493714566e-07,3.0000000000000003e-13,3.048170569769681e-07
541.6666666666666,27083.333333333332,0.0032473041240520836,5.84514742329375e-09,3.5173619669706673e-07,3.5208333333333324e-13,3.598361786176299e-07
583.3333333333333,29166.66666666666,0.003766104191208332,6.7789875441749975e-09,4.079307369977815e-07,4.0833333333333323e-13,4.1564515155979394e-07
625.0,31250.0,0.0043233338929687505,7.782001007343751e-09,4.6828783583929006e-07,4.6875e-13,4.743517206708673e-07
666.6666666666666,33333.33333333333,0.004918993229333332,8.854187812799996e-09,5.328074932215923e-07,5.333333333333332e-13,5.423997159358905e-07
708.3333333333333,35416.666666666664,0.005553082200302083,9.995547960543747e-09,6.014897091446881e-07,6.020833333333332e-13,6.095680939869071e-07
750.0,37500.0,0.006225600805875001,1.1206081450575001e-08,6.743344836085778e-07,6.749999999999999e-13,6.872981406617674e-07
791.6666666666666,39583.33333333333,0.0069365490460520825,1.2485788282893747e-08,7.513418166132608e-07,7.520833333333332e-13,7.637285051575154e-07
833.3333333333333,41666.666666666664,0.007685926920833333,1.3834668457499999e-08,8.325117081587378e-07,8.333333333333332e-13,8.459774852224806e-07
875.0,43750.0,0.008473734430218751,1.525272197439375e-08,9.178441582450086e-07,9.187499999999999e-13,9.317359398805946e-07
916.6666666666666,45833.33333333333,0.009299971574208333,1.6739948833574996e-08,1.007339166872073e-06,1.008333333333333e-12,1.0265252067163294e-06
958.3333333333333,47916.666666666664,0.010164638352802083,1.8296349035043747e-08,1.1009967340399308e-06,1.1020833333333333e-12,1.1189851261941703e-06
1000.0,50000.0,0.011067734766,1.99219225788e-08,1.1988168597485827e-06,1.2000000000000001e-12,1.2178833266830564e-06
1041.6666666666665,52083.33333333332,0.012009260813802079,2.161666946484374e-08,1.3007995439980276e-06,1.302083333333333e-12,1.3217132484452282e-06
1083.3333333333333,54166.666666666664,0.012989216496208334,2.3380589693175e-08,1.406944786788267e-06,1.408333333333333e-12,1.431391403185882e-06
1125.0,56250.0,0.01400760181321875,2.521368326379375e-08,1.5172525881192997e-06,1.51875e-12,1.5431986782618217e-06
1166.6666666666665,58333.33333333332,0.015064416764833327,2.711595017669999e-08,1.631722947991126e-06,1.633333333333333e-12,1.6596659967243513e-06
1208.3333333333333,60416.666666666664,0.016159661351052082,2.9087390431893748e-08,1.7503558664037463e-06,1.7520833333333328e-12,1.780306650924989e-06
1250.0,62500.0,0.017293335571875002,3.1128004029375004e-08,1.8731513433571602e-06,1.875e-12,1.908564517588276e-06
1291.6666666666665,64583.33333333332,0.018465439427302076,3.3237790969143734e-08,2.0001093788513673e-06,2.0020833333333327e-12,2.032536341871075e-06
1333.3333333333333,66666.66666666666,0.019675972917333327,3.5416751251199984e-08,2.131229972886369e-06,2.133333333333333e-12,2.1656243720127592e-06
1375.0,68750.0,0.020924936041968753,3.7664884875543755e-08,2.2665131254621644e-06,2.26875e-12,2.3025527336312125e-06
1416.6666666666665,70833.33333333333,0.022212328801208332,3.9982191842174987e-08,2.4059588365787523e-06,2.408333333333333e-12,2.4471753955994116e-06
1458.3333333333333,72916.66666666666,0.02353815119505208,4.236867215109373e-08,2.5495671062361346e-06,2.552083333333332e-12,2.5941962750560035e-06
1500.0,75000.0,0.024902403223500003,4.4824325802300005e-08,2.6973379344343112e-06,2.6999999999999994e-12,2.7419370653213012e-06
1541.6666666666665,77083.33333333333,0.02630508488655208,4.7349152795793745e-08,2.84927132117328e-06,2.852083333333332e-12,2.894943013098482e-06
1583.3333333333333,79166.66666666666,0.02774619618420833,4.9943153131574986e-08,3.0053672664530433e-06,3.008333333333333e-12,3.053664465486569e-06
1625.0,81250.0,0.029225737116468753,5.2606326809643754e-08,3.1656257702736013e-06,3.16875e-12,3.219536451408894e-06
1666.6666666666665,83333.33333333333,0.030743707683333333,5.5338673829999997e-08,3.330046832634951e-06,3.3333333333333327e-12,3.3868753481406914e-06
1708.3333333333333,85416.66666666666,0.03230010788480208,5.814019419264373e-08,3.4986304535370956e-06,3.502083333333333e-12,3.5578604583496833e-06
1750.0,87500.0,0.033894937720875006,6.1010887897575e-08,3.6713766329800345e-06,3.6749999999999996e-12,3.731060176463032e-06
