time_s,drive_on,power_W,candidate_residual_device_N,thermal_lag_force_N,device_measured_force_N,dummy_load_measured_force_N
152.0,1.0,2.0,3.187507612608e-07,2.0687378445765792e-08,3.376123837331281e-07,2.1763554045235638e-08
153.0,1.0,2.0,3.187507612608e-07,2.080378621519372e-08,3.40008119568212e-07,2.707548654459327e-08
154.0,1.0,2.0,3.187507612608e-07,2.0918738887503797e-08,3.4230752654378655e-07,2.5930930299955023e-08
155.0,1.0,2.0,3.187507612608e-07,2.1032254651409997e-08,3.45401437634669e-07,2.3852014216083043e-08
156.0,1.0,2.0,3.187507612608e-07,2.1144351468267375e-08,3.387219425589256e-07,2.484373065298051e-08
157.0,1.0,2.0,3.187507612608e-07,2.125504707491403e-08,3.428764086490049e-07,2.2503218787074952e-08
158.0,1.0,2.0,3.187507612608e-07,2.136435898647761e-08,3.406026252080809e-07,2.355211805749004e-08
159.0,1.0,2.0,3.187507612608e-07,2.147230449914664e-08,3.399205704664539e-07,2.4624466581733697e-08
160.0,1.0,2.0,3.187507612608e-07,2.1578900692907307e-08,3.411948508571596e-07,2.825286747339288e-08
161.0,1.0,2.0,3.187507612608e-07,2.1684164434245963e-08,3.405587586624059e-07,2.4611756434262414e-08
162.0,1.0,2.0,3.187507612608e-07,2.178811237881789e-08,3.407596650908423e-07,2.7264743684809618e-08
163.0,1.0,2.0,3.187507612608e-07,2.1890760974082662e-08,3.3982485590922927e-07,2.5000067696167238e-08
164.0,1.0,2.0,3.187507612608e-07,2.199212646190663e-08,3.379466684031089e-07,2.6663824162635716e-08
165.0,1.0,2.0,3.187507612608e-07,2.20922248811328e-08,3.377557357368886e-07,2.5975226613947915e-08
166.0,1.0,2.0,3.187507612608e-07,2.2191072070118638e-08,3.422483230974811e-07,2.809309328850826e-08
167.0,1.0,2.0,3.187507612608e-07,2.2288683669242158e-08,3.4048604474987075e-07,2.5365207851096828e-08
168.0,1.0,2.0,3.187507612608e-07,2.238507512337663e-08,3.3994365858486433e-07,2.3376526336250086e-08
169.0,1.0,2.0,3.187507612608e-07,2.2480261684334423e-08,3.412480341985807e-07,2.3843352678389717e-08
170.0,1.0,2.0,3.187507612608e-07,2.257425841328024e-08,3.429148841799115e-07,2.56280928092827e-08
171.0,1.0,2.0,3.187507612608e-07,2.266708018311424e-08,3.4177856932996706e-07,2.427726744866271e-08
172.0,1.0,2.0,3.187507612608e-07,2.275874168082531e-08,3.4019739306834334e-07,2.767830676931788e-08
173.0,1.0,2.0,3.187507612608e-07,2.2849257409814992e-08,3.440526045819129e-07,2.6007810564333335e-08
174.0,1.0,2.0,3.187507612608e-07,2.2938641692192306e-08,3.448477739589556e-07,3.176900584824194e-08
175.0,1.0,2.0,3.187507612608e-07,2.30269086710399e-08,3.427667832424856e-07,2.3623803838877648e-08
176.0,1.0,2.0,3.187507612608e-07,2.3114072312651902e-08,3.4381216059614005e-07,2.7584946664022312e-08
177.0,1.0,2.0,3.187507612608e-07,2.3200146408743755e-08,3.444348276631713e-07,2.4999240946074043e-08
178.0,1.0,2.0,3.187507612608e-07,2.328514457863446e-08,3.442961044722435e-07,2.6344842665221657e-08
179.0,1.0,2.0,3.187507612608e-07,2.3369080271401527e-08,3.4334803988642675e-07,2.769002641615846e-08
