geometry,geometry_sign,voltage_V,energy_density_J_per_m3,candidate_residual_force_N,non_inverting_artifact_force_N,measured_force_N
reversed,-1,569.620253164557,0.0035911172730572023,-6.464011091502964e-09,1.3614226555789262e-07,1.3014880668956618e-07
reversed,-1,632.9113924050633,0.004433478114885436,-7.980260606793783e-09,1.6807687105912675e-07,1.5724914158153483e-07
reversed,-1,696.2025316455697,0.005364508519011378,-9.65611533422048e-09,2.0337301398154337e-07,1.9460954294240902e-07
reversed,-1,759.493670886076,0.006384208485435028,-1.149157527378305e-08,2.4203069432514247e-07,2.2892592124274469e-07
reversed,-1,822.7848101265823,0.007492578014156387,-1.3486640425481497e-08,2.840499120899242e-07,2.6799800236392164e-07
reversed,-1,886.0759493670887,0.008689617105175454,-1.5641310789315815e-08,3.294306672758884e-07,3.152169967595374e-07
reversed,-1,949.367088607595,0.00997532575849223,-1.795558636528601e-08,3.78172959883035e-07,3.6070066256110254e-07
reversed,-1,1012.6582278481013,0.011349703974106713,-2.0429467153392082e-08,4.302767899113643e-07,4.0861936915518644e-07
reversed,-1,1075.9493670886077,0.01281275175201891,-2.3062953153634033e-08,4.857421573608763e-07,4.655815619052843e-07
reversed,-1,1139.240506329114,0.01436446909222881,-2.5856044366011854e-08,5.445690622315705e-07,5.178317130224192e-07
reversed,-1,1202.5316455696204,0.016004855994736427,-2.8808740790525566e-08,6.067575045234476e-07,5.780129790808639e-07
reversed,-1,1265.8227848101267,0.017733912459541742,-3.192104242717513e-08,6.72307484236507e-07,6.40924268704689e-07
reversed,-1,1329.113924050633,0.01955163848664477,-3.5192949275960585e-08,7.412190013707489e-07,7.04786720226531e-07
reversed,-1,1392.4050632911394,0.02145803407604551,-3.862446133688192e-08,8.134920559261735e-07,7.758098671760914e-07
reversed,-1,1455.6962025316457,0.02345309922774395,-4.2215578609939105e-08,8.891266479027804e-07,8.458441645985119e-07
reversed,-1,1518.987341772152,0.02553683394174011,-4.59663010951322e-08,9.681227773005699e-07,9.213331995610053e-07
reversed,-1,1582.2784810126584,0.027709238218033977,-4.9876628792461153e-08,1.0504804441195421e-06,1.0033291006066877e-06
reversed,-1,1645.5696202531647,0.029970312056625547,-5.394656170192599e-08,1.1361996483596968e-06,1.0801719145527458e-06
reversed,-1,1708.860759493671,0.03232005545751482,-5.8176099823526664e-08,1.2252803900210335e-06,1.1622787295356479e-06
reversed,-1,1772.1518987341774,0.034758468420701814,-6.256524315726326e-08,1.3177226691035537e-06,1.2583792999363143e-06
reversed,-1,1835.4430379746836,0.03728555094618652,-6.711399170313573e-08,1.4135264856072556e-06,1.3515111498093338e-06
reversed,-1,1898.73417721519,0.03990130303396892,-7.182234546114405e-08,1.51269183953214e-06,1.4400589555400975e-06
reversed,-1,1962.0253164556964,0.04260572468404904,-7.669030443128826e-08,1.6152187308782078e-06,1.5346547503656792e-06
reversed,-1,2025.3164556962026,0.04539881589642685,-8.171786861356833e-08,1.7211071596454573e-06,1.638768323079497e-06
reversed,-1,2088.607594936709,0.04828057667110241,-8.690503800798432e-08,1.8303571258338898e-06,1.7428796419262242e-06
reversed,-1,2151.8987341772154,0.05125100700807564,-9.225181261453613e-08,1.942968629443505e-06,1.8503369691469243e-06
reversed,-1,2215.1898734177216,0.054310106907346584,-9.775819243322383e-08,2.0589416704743017e-06,1.958956701957234e-06
reversed,-1,2278.481012658228,0.05745787636891524,-1.0342417746404742e-07,2.178276248926282e-06,2.0760111937471876e-06
reversed,-1,2341.772151898734,0.06069431539278161,-1.0924976770700689e-07,2.3009723647994443e-06,2.1927716118430096e-06
reversed,-1,2405.063291139241,0.06401942397894571,-1.1523496316210226e-07,2.4270300180937903e-06,2.3088062436920493e-06
reversed,-1,2468.354430379747,0.06743320212740748,-1.2137976382933346e-07,2.556449208809318e-06,2.436467838443374e-06
reversed,-1,2531.6455696202534,0.07093564983816697,-1.2768416970870053e-07,2.689229936946028e-06,2.565651137201219e-06
reversed,-1,2594.9367088607596,0.07452676711122418,-1.341481808002035e-07,2.8253722025039205e-06,2.691567942368591e-06
reversed,-1,2658.227848101266,0.07820655394657908,-1.4077179710384234e-07,2.9648760054829954e-06,2.823429558055016e-06
reversed,-1,2721.518987341772,0.08197501034423171,-1.4755501861961708e-07,3.1077413458832528e-06,2.9599023208348206e-06
reversed,-1,2784.810126582279,0.08583213630418204,-1.5449784534752767e-07,3.253968223704694e-06,3.1007008918911034e-06
reversed,-1,2848.101265822785,0.08977793182643008,-1.6160027728757416e-07,3.4035566389473165e-06,3.238495018448728e-06
reversed,-1,2911.3924050632913,0.0938123969109758,-1.6886231443975642e-07,3.5565065916111216e-06,3.3879730585773198e-06
reversed,-1,2974.6835443037976,0.09793553155781928,-1.7628395680407468e-07,3.712818081696109e-06,3.535753196993109e-06
reversed,-1,3037.974683544304,0.10214733576696045,-1.838652043805288e-07,3.8724911092022795e-06,3.692321554847663e-06
reversed,-1,3101.26582278481,0.10644780953839927,-1.916060571691187e-07,4.035525674129631e-06,3.8435712714929025e-06
reversed,-1,3164.556962025317,0.11083695287213591,-1.9950651516984461e-07,4.2019217764781685e-06,4.0057510365305625e-06
