case,Gamma,m_phi,omega_drive,drive_off_time,peak_abs_phi_before_drive_off,peak_abs_phi_after_drive_off,energy_at_drive_off,final_energy,energy_decay_ratio_final_over_off
weak_damping,0.05,1.0,1.0,40.0,12.505469505985973,11.670275506586082,78.74179440592914,3.910810255311499,0.04966625773284411
moderate_damping,0.15,1.0,1.0,40.0,6.317241879786586,5.087730432132234,19.988600818891342,0.002465489898513441,0.00012334479640932608
strong_damping,0.4,1.0,1.0,40.0,2.499305171121299,1.8585922467834184,3.123235273431611,9.131668995288438e-11,2.923785176534314e-11
