voltage_V,electric_field_V_per_m,energy_density_J_per_m3,F_electrostatic_N,F_EHD_air_N,F_residual_chi_0_N,F_total_air_chi_0_N,F_residual_chi_1e-06_N,F_total_air_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_air_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_air_chi_0.0001_N
1004.3110367892976,50215.55183946488,0.011163367289069593,5.581683644534797e-07,2.017281317233588e-06,0.0,2.5754496816870674e-06,2.7908418222673982e-11,2.57547759010529e-06,2.7908418222673985e-10,2.575728765869294e-06,2.7908418222673985e-09,2.5782405235093348e-06
1104.6421404682274,55232.107023411365,0.013505229131851286,6.752614565925643e-07,2.440468516996454e-06,0.0,3.1157299735890185e-06,3.376307282962821e-11,3.1157637366618483e-06,3.376307282962822e-10,3.116067604317315e-06,3.3763072829628218e-09,3.1191062808719813e-06
1204.9732441471572,60248.662207357855,0.016069913923841748,8.034956961920875e-07,2.903921038221049e-06,0.0,3.7074167344131363e-06,4.017478480960437e-11,3.707456909197946e-06,4.0174784809604377e-10,3.7078184822612324e-06,4.017478480960437e-09,3.711434212894097e-06
1305.304347826087,65265.21739130435,0.018857421665040983,9.428710832520492e-07,3.4076388809073724e-06,0.0,4.350509964159421e-06,4.7143554162602455e-11,4.350557107713584e-06,4.714355416260246e-10,4.350981399701047e-06,4.714355416260246e-09,4.355224319575682e-06
1405.6354515050166,70281.77257525083,0.021867752355448977,1.0933876177724488e-06,3.951622045055424e-06,0.0,5.045009662827873e-06,5.466938088862244e-11,5.045064332208761e-06,5.466938088862245e-10,5.045556356636759e-06,5.466938088862244e-09,5.050476600916735e-06
1505.9665551839464,75298.32775919732,0.025100905995065734,1.2550452997532867e-06,4.535870530665205e-06,0.0,5.790915830418492e-06,6.275226498766433e-11,5.790978582683479e-06,6.275226498766434e-10,5.791543353068369e-06,6.275226498766434e-09,5.797191056917259e-06
1606.2976588628762,80314.8829431438,0.028556882583891264,1.4278441291945633e-06,5.1603843377367145e-06,0.0,6.588228466931278e-06,7.139220645972816e-11,6.588299859137737e-06,7.139220645972817e-10,6.588942388995875e-06,7.139220645972817e-09,6.59536768757725e-06
1706.628762541806,85331.4381270903,0.03223568212192556,1.6117841060962781e-06,5.825163466269952e-06,0.0,7.43694757236623e-06,8.05892053048139e-11,7.437028161571535e-06,8.058920530481391e-10,7.437753464419278e-06,8.058920530481391e-09,7.4450064928967116e-06
1806.9598662207359,90347.99331103679,0.03613730460916863,1.8068652304584313e-06,6.53020791626492e-06,0.0,8.337073146723352e-06,9.034326152292157e-11,8.337163489984874e-06,9.034326152292158e-10,8.33797657933858e-06,9.034326152292158e-09,8.346107472875644e-06
1907.2909698996655,95364.54849498328,0.04026175004562046,2.0130875022810227e-06,7.275517687721612e-06,0.0,9.288605190002634e-06,1.0065437511405114e-10,9.288705844377748e-06,1.0065437511405115e-09,9.289611733753775e-06,1.0065437511405115e-08,9.29867062751404e-06
