chi_eff,F_residual_N_at_30kV
1.4033215376054846e-06,3.494607879825054e-08
1.4696843861124474e-06,3.659867321161488e-08
1.5391855229902055e-06,3.832941854745746e-08
1.6119733573881554e-06,4.0142010550260356e-08
1.6882033167003628e-06,4.204031973566441e-08
1.7680381784572085e-06,4.4028399655368814e-08
1.851648417912154e-06,4.6110495552876903e-08
1.939212572065831e-06,4.8291053428570824e-08
2.030917620904739e-06,5.057472953347135e-08
2.126959386668692e-06,5.296640031195673e-08
2.2275429519995564e-06,5.5471172814671315e-08
2.3328830978641584e-06,5.809439560385827e-08
2.4432047621864915e-06,6.08416701744038e-08
2.5587435201685893e-06,6.371886291498118e-08
2.6797460873256896e-06,6.673211763483528e-08
2.8064708463098388e-06,6.988786868295635e-08
2.9391883986468903e-06,7.319285468765729e-08
3.07818214256508e-06,7.665413294589382e-08
3.2237488781490268e-06,8.027909449305338e-08
3.3761994411113403e-06,8.40754798853913e-08
3.535859366535183e-06,8.805139572881575e-08
3.703069584005141e-06,9.221533198931695e-08
3.87818714561072e-06,9.657618012200375e-08
4.061585988376979e-06,1.0114325205745882e-07
4.253657732750392e-06,1.0592630008595539e-07
4.454812518844989e-06,1.1093553768199609e-07
4.665479882234468e-06,1.1618166131364102e-07
4.886109671160326e-06,1.216758732831946e-07
5.11717300711461e-06,1.2742990564802467e-07
5.359163290848514e-06,1.3345604527259403e-07
5.612597255954966e-06,1.3976716006519902e-07
5.8780160722749115e-06,1.4637672645543765e-07
6.1559865014835144e-06,1.5329885817108315e-07
6.44710210732387e-06,1.60548336375812e-07
6.751984523072495e-06,1.6814064123214043e-07
7.071284778942996e-06,1.760919849569661e-07
7.405684692262442e-06,1.844193464403005e-07
7.755898323389001e-06,1.9314050750111709e-07
8.12267350047972e-06,2.0227409085773331e-07
8.50679341636417e-06,2.118395998938022e-07
8.909078300934142e-06,2.218574603048348e-07
9.33038717262036e-06,2.3234906371417954e-07
9.771619672696182e-06,2.433368133515927e-07
1.0233717986325213e-05,2.5484417189194074e-07
1.0717668854455034e-05,2.668957115561891e-07
1.1224505680853058e-05,2.7951716658165874e-07
1.1755310738783698e-05,2.92735488173591e-07
1.231121748203892e-05,3.0657890205536183e-07
1.2893412965257156e-05,3.2107696874023996e-07
1.3503140378698721e-05,3.362606466533859e-07
1.414170170289024e-05,3.5216235823887825e-07
1.481046048880677e-05,3.688160591929297e-07
1.5510844769528404e-05,3.8625731097113413e-07
1.6244350109588655e-05,4.0452335672456953e-07
1.7012542798525893e-05,4.236532008269036e-07
1.7817063195457326e-05,4.436876921623238e-07
1.865962923181746e-05,4.6466961135214284e-07
1.9542040079740515e-05,4.866437621063368e-07
2.04661799939199e-05,5.096570668950788e-07
2.1434022335148588e-05,5.337586671445647e-07
2.244763378413224e-05,5.590000281710848e-07
2.3509178754572845e-05,5.854350490774147e-07
2.4620924014946254e-05,6.131201778461809e-07
2.5785243528842763e-05,6.421145318759748e-07
2.7004623524206823e-05,6.724800242176041e-07
2.8281667802300294e-05,7.042814957800362e-07
2.9619103297725536e-05,7.375868537883356e-07
3.1019785901380997e-05,7.724672167892513e-07
3.248670655878375e-05,8.089970665141044e-07
3.4022997656780716e-05,8.472544069232458e-07
3.5631939712285916e-05,8.873209307716888e-07
3.731696837732756e-05,9.292821940516161e-07
3.908168177536264e-05,9.732277986842443e-07
4.092984818452442e-05,1.0192515838511505e-06
4.2865414084209335e-05,1.0674518263736246e-06
4.489251258218608e-05,1.1179314505679378e-06
4.7015472240221296e-05,1.170798248024632e-06
4.9238826317067415e-05,1.22616510778113e-06
5.1567322448549736e-05,1.284150257379168e-06
5.400593278542374e-05,1.3448775153218057e-06
5.655986461065002e-05,1.4084765554690882e-06
5.9234571458758056e-05,1.4750831839369262e-06
6.203576476104281e-05,1.5448396290904778e-06
6.496942604146125e-05,1.6178948452512808e-06
6.804181968927093e-05,1.6944048307666503e-06
7.12595063356841e-05,1.7745329611205115e-06
7.462935686310145e-05,1.858450337796989e-06
7.815856707684091e-05,1.9463361536417122e-06
8.185467307069021e-05,2.038378075501003e-06
8.572556731909324e-05,2.1347726449559874e-06
8.977951553033332e-05,2.2357256980073614e-06
9.402517429670132e-05,2.3414528046069968e-06
9.847160957933764e-05,2.452179728974927e-06
0.00010312831606721848,2.5681429116846317e-06
0.0001080052374516254,2.6895899745460515e-06
0.00011311278765939213,2.8167802493644627e-06
0.00011846187309026848,2.9499853317042808e-06
0.00012406391590588317,3.0894896608402033e-06
