pressure_atm,F_electrostatic_N,F_EHD_N,F_residual_chi_0_N,F_total_chi_0_N,F_residual_chi_1e-06_N,F_total_chi_1e-06_N,F_residual_chi_1e-05_N,F_total_chi_1e-05_N,F_residual_chi_0.0001_N,F_total_chi_0.0001_N
1.0,0.0004980480647062501,0.0018,0.0,0.00229804806470625,2.4902403235312502e-08,0.0022980729671094853,2.49024032353125e-07,0.002298297088738603,2.4902403235312503e-06,0.0023005383050297814
0.1,0.0004980480647062501,0.0002852807746430004,0.0,0.0007833288393492505,2.4902403235312502e-08,0.0007833537417524858,2.49024032353125e-07,0.0007835778633816037,2.4902403235312503e-06,0.0007858190796727817
0.01,0.0004980480647062501,4.521395576717243e-05,0.0,0.0005432620204734225,2.4902403235312502e-08,0.0005432869228766578,2.49024032353125e-07,0.0005435110445057757,2.4902403235312503e-06,0.0005457522607969537
0.001,0.0004980480647062501,7.165929069962949e-06,0.0,0.000505213993776213,2.4902403235312502e-08,0.0005052388961794483,2.49024032353125e-07,0.0005054630178085662,2.4902403235312503e-06,0.0005077042340997442
0.0001,0.0004980480647062501,1.1357232200643473e-06,0.0,0.0004991837879263144,2.4902403235312502e-08,0.0004992086903295497,2.49024032353125e-07,0.0004994328119586676,2.4902403235312503e-06,0.0005016740282498456
