normalized_detuning,estimated_force_nN
-4.765100671140939381e-01,2.739837646706796637e+00
-4.630872483221476488e-01,2.869087619539933520e+00
-4.496644295302013594e-01,3.006882459929912876e+00
-4.362416107382550701e-01,3.153901042089068074e+00
-4.228187919463087807e-01,3.310877653327604975e+00
-4.093959731543623803e-01,3.478604936041509887e+00
-3.959731543624160910e-01,3.657936311357854908e+00
-3.825503355704698016e-01,3.849787582400086450e+00
-3.691275167785235123e-01,4.055137313897788864e+00
-3.557046979865772229e-01,4.275025456058265227e+00
-3.422818791946309336e-01,4.510549518705522232e+00
-3.288590604026845332e-01,4.762857401127567059e+00
-3.154362416107382439e-01,5.033135739148248078e+00
-3.020134228187919545e-01,5.322592341286481954e+00
-2.885906040268456652e-01,5.632430952907868438e+00
-2.751677852348993758e-01,5.963816222051653071e+00
-2.617449664429530864e-01,6.317826368447160057e+00
-2.483221476510066861e-01,6.695390725660582909e+00
-2.348993288590603967e-01,7.097209115537259194e+00
-2.214765100671141074e-01,7.523650049444806420e+00
-2.080536912751678180e-01,7.974625215336898165e+00
-1.946308724832215287e-01,8.449438852566112601e+00
-1.812080536912752393e-01,8.946612748996823683e+00
-1.677852348993288389e-01,9.463691060666949539e+00
-1.543624161073825496e-01,9.997034253594609510e+00
-1.409395973154362602e-01,1.054161831791341974e+01
-1.275167785234899709e-01,1.109086372318842351e+01
-1.140939597315436815e-01,1.163652740757707171e+01
-1.006711409395972812e-01,1.216869851351929910e+01
-8.724832214765099181e-02,1.267594164918843447e+01
-7.382550335570470246e-02,1.314562649288897767e+01
-6.040268456375841311e-02,1.356446612957171638e+01
-4.697986577181212375e-02,1.391925707572520032e+01
-3.355704697986583440e-02,1.419777383962037476e+01
-2.013422818791943403e-02,1.438972758827306642e+01
-6.711409395973144676e-03,1.448766411932148657e+01
6.711409395973033654e-03,1.448766411932148657e+01
2.013422818791954505e-02,1.438972758827306642e+01
3.355704697986583440e-02,1.419777383962037476e+01
4.697986577181212375e-02,1.391925707572520032e+01
6.040268456375841311e-02,1.356446612957171638e+01
7.382550335570470246e-02,1.314562649288897767e+01
8.724832214765099181e-02,1.267594164918843447e+01
1.006711409395972812e-01,1.216869851351929910e+01
1.140939597315435705e-01,1.163652740757707704e+01
1.275167785234898599e-01,1.109086372318842706e+01
1.409395973154361492e-01,1.054161831791342685e+01
1.543624161073824386e-01,9.997034253594613062e+00
1.677852348993287279e-01,9.463691060666951316e+00
1.812080536912752393e-01,8.946612748996823683e+00
1.946308724832215287e-01,8.449438852566112601e+00
2.080536912751678180e-01,7.974625215336898165e+00
2.214765100671141074e-01,7.523650049444806420e+00
2.348993288590603967e-01,7.097209115537259194e+00
2.483221476510066861e-01,6.695390725660582909e+00
2.617449664429529754e-01,6.317826368447162722e+00
2.751677852348992648e-01,5.963816222051655735e+00
2.885906040268455541e-01,5.632430952907869326e+00
3.020134228187918435e-01,5.322592341286485507e+00
3.154362416107381328e-01,5.033135739148249854e+00
3.288590604026846442e-01,4.762857401127565282e+00
3.422818791946309336e-01,4.510549518705522232e+00
3.557046979865772229e-01,4.275025456058265227e+00
3.691275167785235123e-01,4.055137313897788864e+00
3.825503355704698016e-01,3.849787582400086450e+00
3.959731543624160910e-01,3.657936311357854908e+00
4.093959731543623803e-01,3.478604936041509887e+00
4.228187919463086697e-01,3.310877653327606307e+00
4.362416107382549590e-01,3.153901042089069406e+00
4.496644295302012484e-01,3.006882459929913765e+00
4.630872483221475377e-01,2.869087619539934408e+00
4.765100671140938271e-01,2.739837646706797525e+00
4.899328859060403385e-01,2.618505843275479528e+00
5.033557046979866278e-01,2.504514317657285272e+00
5.167785234899329172e-01,2.397330599124825934e+00
5.302013422818792066e-01,2.296464317005686873e+00
5.436241610738254959e-01,2.201463999513201486e+00
5.570469798657717853e-01,2.111914027336918132e+00
5.704697986577180746e-01,2.027431762684835714e+00
5.838926174496643640e-01,1.947664863991808604e+00
5.973154362416106533e-01,1.872288789025094768e+00
6.107382550335569427e-01,1.801004483887777452e+00
6.241610738255032320e-01,1.733536251873823320e+00
6.375838926174495214e-01,1.669629793829028097e+00
6.510067114093960328e-01,1.609050410287950816e+00
6.644295302013423221e-01,1.551581354936806267e+00
6.778523489932886115e-01,1.497022328706277161e+00
6.912751677852349008e-01,1.445188103884395447e+00
7.046979865771811902e-01,1.395907267951775221e+00
7.181208053691274795e-01,1.349021077301405303e+00
7.315436241610737689e-01,1.304382411555269350e+00
7.449664429530200582e-01,1.261854819788700732e+00
7.583892617449663476e-01,1.221311650590724218e+00
