voltage_V,distance_m,coupling_fraction,F_env_mgf,F_env_N
7000,0.029999999999999995,1.0,123.54395060224383,0.0012115522831734945
7000,0.030349139392986207,1.0,120.71777815654416,0.0011838369991588737
7000,0.030702342063163593,1.0,117.95625679779678,0.0011567557257261137
7000,0.031059655298869858,1.0,115.25790757766298,0.0011302939593464886
7000,0.03142112693878349,1.0,112.62128537999877,0.0011044375282717649
7000,0.031786805378328474,1.0,110.04497814691557,0.0010791725849444494
7000,0.03215673957615382,1.0,107.52760612254394,0.0010544855985816456
7000,0.0325309790606883,1.0,105.06782111409795,0.0010303633479285686
7000,0.0329095739367715,1.0,102.66430576984298,0.0010067929141778307
7000,0.03329257489236216,1.0,100.31577287358022,0.0009837616740506953
7000,0.0336800332053244,1.0,98.0209646552713,0.0009612572930366162
7000,0.03407200075029315,1.0,95.7786521174318,0.0009392677187874125
7000,0.03446853000561927,1.0,93.58763437693518,0.0009177811746625714
7000,0.03486967406039557,1.0,91.44673802187314,0.0008967861534222021
7000,0.035275486621564704,1.0,89.3548164831276,0.0008762714110642633
7000,0.035686022021109584,1.0,87.31074942032006,0.0008562259608027817
7000,0.036101335223327674,1.0,85.31344212180619,0.0008366390671838107
7000,0.03652148183218984,1.0,83.36182491839716,0.0008175002403359995
7000,0.03694651809878476,1.0,81.45485261049252,0.0007987992303526865
7000,0.03737650092885024,1.0,79.59150390831712,0.0007805260218024981
7000,0.037811487890391814,1.0,77.7707808849642,0.0007626708283655341
7000,0.03825153722139038,1.0,75.99170844194937,0.0007452240875922428
7000,0.03869670783759926,1.0,74.25333378699163,0.0007281764557822015
7000,0.03914705934043206,1.0,72.55472592374005,0.0007115188029800453
7000,0.039602652024942536,1.0,70.89497515317296,0.0006952422080858635
7000,0.040063546887896956,1.0,69.27319258640418,0.0006793379540774605
7000,0.04052980563594081,1.0,67.68850966863292,0.0006637975233418989
7000,0.04100149069386019,1.0,66.14007771398494,0.0006486125931138503
7000,0.041478665212939664,1.0,64.62706745099351,0.0006337750310182854
7000,0.04196139307941715,1.0,63.1486685784787,0.0006192768907151381
7000,0.04244973892303727,1.0,61.70408933158615,0.0006051104076435993
7000,0.04294376812570437,1.0,60.292556057752506,0.0005912679948637586
7000,0.043443546830236004,1.0,58.91331280237186,0.00057774223899338
7000,0.04394914194921856,1.0,57.565620903939674,0.00056452589623762
7000,0.04446062117396575,1.0,56.24875859845855,0.0005516118885095736
7000,0.04497805298358136,1.0,54.9620206328937,0.0005389932996395669
7000,0.045501506654127694,1.0,53.70471788747017,0.0005266633716711593
7000,0.046031052267900364,1.0,52.47617700661147,0.0005146155012418864
7000,0.04656676072281141,1.0,51.275740038319725,0.0005028432360467881
7000,0.047108703741881315,1.0,50.10276408180588,0.0004913402713828416
7000,0.04765695388284157,1.0,48.95662094318084,0.0004801004467724443
7000,0.04821158454784917,1.0,47.836696799022256,0.0004691177426641316
7000,0.04877266999331382,1.0,46.742391867638325,0.0004583862772087754
7000,0.049340285339839904,1.0,45.673120087851004,0.000447900303109524
7000,0.049914506582283864,1.0,44.6283088051278,0.0004376542045438066
7000,0.050495410599928695,1.0,43.60739846489348,0.0004276424941557476
7000,0.05108307516677701,1.0,42.6098423128572,0.00041785981011738103
7000,0.05167757896196359,1.0,41.63510610219552,0.00040830091325709566
7000,0.05227900158028949,1.0,40.68266780743314,0.0003989606842537642
7000,0.05288742354287843,1.0,39.75201734486942,0.00038983412089506374
7000,0.05350292630795727,1.0,38.842656299400275,0.0003809163353985137
7000,0.054125592281762176,1.0,37.95409765758879,0.00037220255179379314
7000,0.0547555048295713,1.0,37.085865546842896,0.0003636881033649469
7000,0.0553927482868663,1.0,36.23749498055871,0.00035536843015109606
7000,0.056037407970623475,1.0,35.40853160909454,0.0003472390765043269
7000,0.05668957019073628,1.0,34.59853147644141,0.0003392956887034441
7000,0.05734932226157107,1.0,33.80706078245973,0.00033153401262230866
7000,0.05801675251365693,1.0,33.033695650555416,0.0003239498914515193
7000,0.05869195030551191,1.0,32.27802190067022,0.0003165392634722076
