voltage_V,E_V_per_m,F_Migliorero_Musha_N,kgf_Migliorero_Musha,F_electrostatic_pressure_internal_N,kgf_electrostatic_pressure_internal,F_EHD_air_schematic_N,F_EVRT_residual_chi_1e-4_N
1000.0,1000000.0,15.268701208554196,1.5569742173478403,751038.7877835691,76584.6428478195,1e-12,75.10387877835693
1331.103678929766,1331103.678929766,20.324224351185855,2.072494108710503,1330718.3156795616,135695.504140513,1.7718370040603575e-12,133.0718315679562
1662.2073578595318,1662207.3578595319,25.37974749381751,2.5880140000731657,2075070.0767511735,211598.26003285256,2.762933300522366e-12,207.50700767511736
1993.3110367892975,1993311.0367892976,30.435270636449168,3.103533891435829,2984094.0709984037,304292.91052483814,3.973288889386024e-12,298.4094070998404
2324.4147157190637,2324414.7157190638,35.490793779080825,3.6190537827984914,4057790.2984212544,413779.4556164699,5.402903770651336e-12,405.77902984212545
2655.5183946488296,2655518.3946488295,40.54631692171248,4.134573674161154,5296158.759019723,540057.8953077476,7.051777944318298e-12,529.6158759019723
2986.622073578595,2986622.073578595,45.60184006434414,4.650093565523817,6699199.4527938105,683128.2295986714,8.919911410386907e-12,669.9199452793812
3317.725752508361,3317725.752508361,50.65736320697579,5.165613456886479,8266912.379743516,842990.4584892412,1.100730416885717e-11,826.6912379743517
3648.829431438127,3648829.4314381266,55.712886349607444,5.6811333482491415,9999297.539868841,1019644.5819794569,1.3313956219729086e-11,999.9297539868842
3979.933110367893,3979933.110367893,60.76840949223911,6.1966532396118055,11896354.933169786,1213090.600069319,1.5839867563002652e-11,1189.6354933169787
4311.036789297659,4311036.789297659,65.82393263487077,6.7121731309744685,13958084.559646353,1423328.5127588273,1.8585038198677874e-11,1395.8084559646354
4642.140468227424,4642140.468227424,70.8794557775024,7.227693022337129,16184486.41929853,1650358.3200479809,2.1549468126754733e-11,1618.448641929853
4973.24414715719,4973244.14715719,75.93497892013407,7.743212913699793,18575560.512126338,1894180.0219367815,2.473315734723325e-11,1857.5560512126335
5304.347826086956,5304347.826086956,80.99050206276573,8.258732805062456,21131306.83812976,2154793.6184252277,2.813610586011342e-11,2113.130683812976
5635.451505016722,5635451.505016722,86.04602520539738,8.774252696425119,23851725.397308797,2432199.10951332,3.175831366539524e-11,2385.1725397308796
5966.555183946488,5966555.1839464875,91.10154834802904,9.289772587787782,26736816.18966345,2726396.4952010578,3.5599780763078704e-11,2673.6816189663455
6297.658862876254,6297658.862876254,96.1570714906607,9.805292479150443,29786579.21519374,3037385.775488443,3.966050715316383e-11,2978.657921519374
6628.76254180602,6628762.54180602,101.21259463329235,10.320812370513107,33001014.473899633,3365166.950375473,4.3940492835650605e-11,3300.1014473899636
6959.866220735786,6959866.220735786,106.26811777592401,10.83633226187577,36380121.96578115,3709740.0198621503,4.843973781053903e-11,3638.0121965781154
7290.969899665552,7290969.899665551,111.32364091855567,11.351852153238433,39923901.690838285,4071104.9839484724,5.31582420778291e-11,3992.390169083829
7622.0735785953175,7622073.578595317,116.37916406118732,11.867372044601096,43632353.64907104,4449261.842634441,5.8096005637520835e-11,4363.235364907104
7953.177257525083,7953177.257525084,121.434687203819,12.382891935963759,47505477.84047942,4844210.595920056,6.32530284896142e-11,4750.5477840479425
8284.280936454848,8284280.936454848,126.49021034645062,12.89841182732642,51543274.265063405,5255951.243805316,6.862931063410922e-11,5154.327426506341
8615.384615384615,8615384.615384616,131.54573348908232,13.413931718689087,55745742.922823034,5684483.786290226,7.422485207100592e-11,5574.574292282305
8946.48829431438,8946488.29431438,136.60125663171397,13.929451610051748,60112883.81375825,6129808.223374777,8.003965280030424e-11,6011.288381375825
9277.591973244147,9277591.973244147,141.6567797743456,14.44497150141441,64644696.93786912,6591924.555058978,8.607371282200424e-11,6464.469693786912
9608.695652173912,9608695.652173912,146.71230291697728,14.960491392777074,69341182.29515556,7070832.781342819,9.232703213610585e-11,6934.118229515558
9939.799331103679,9939799.331103679,151.76782605960892,15.476011284139735,74202339.88561766,7566532.902226312,9.879961074260915e-11,7420.233988561767
10270.903010033444,10270903.010033444,156.8233492022406,15.991531175502399,79228169.70925535,8079024.917709447,1.0549144864151407e-10,7922.816970925535
10602.00668896321,10602006.68896321,161.87887234487224,16.50705106686506,84418671.7660687,8608308.827792233,1.1240254583282068e-10,8441.867176606871
